1	hello , how are you doing tonight ?
2	i am well an loving this interaction how are you ?
3	i am great . i just got back from the club .
4	this is my favorite time of the year season wise
5	i would rather eat chocolate cake during this season .
6	what club did you go to ? me an timothy watched tv
7	i went to club chino . what show are you watching ?
8	lol oh okay kind of random
9	do you live in a house or apartment ?
10	we watched a show about animals like him
11	i love those shows . i am really craving cake .
12	why does that matter any ? i went outdoors to play frisbee
13	it matters because i have a sweet tooth .
14	so ? lol i want to meet my family at home in bora
15	my family lives in alaska . it is freezing down there .
16	i bet it is oh i could not
1	how are you ? being an old man , i am slowing down these days
2	hi , my dad is old as well , they live close to me and i see them often
3	that is a great thing honor your dad with your presence
4	sure , i pick him up for church every sunday with my ford pickup
5	sounds wonderful my wheelchair can go very fast on various terrains
6	i guess that means you do not go hunting often ? i love hunting , i own 3 guns
7	hunting ? i served in the marines , yes i hunt
8	yeah me too , i am conservative so i love church and hunting
9	what do you like to hunt ? do you ever fish ?
10	fishing is good . i love fishing as well
11	fishing is a better choice sometimes for my one leg
12	yes that must be hard , i hope things get better for you
13	i enjoy life , it is what it is these days .
14	yes i agree . i try to enjoy life too , whenever i am not working
15	well , you better enjoying working so you can enjoy more of your time .
16	yeah but i go to church every sunday so my weekends are usually booked
1	hey , are you a student , i traveled a lot , i even studied abroad
2	no , i work full time at a nursing home . i am a nurses aide .
3	nice , i just got a advertising job myself . do you like your job ?
4	nice . yes i do . caring for people is the joy of my life .
5	nice my best friend is a nurse , i knew him since kindergarten
6	very cool . do you have pets ?
7	no i do not , do you ?
8	yes . two dogs and a cat . they are my babies .
9	nice , where do you live ? i resign in north dakota
10	i live in texas . i love riding my bike here .
11	are you a christian ? i am jewish
12	yes i am . i have always been a christian .
13	i am jewish but i am not religious all that much
14	oh really ? so you do not go to church often ?
15	i mostly go to the mosque on my free time
16	i see . that is very cool . i enjoy hearing about other practices .
1	hi want to get to know each other ?
2	yes we got to act quickly
3	i am going for a horse ride tomorrow . do you like horses ?
4	i never have juice , just water .
5	is that hard for you ? i love sugar
6	yes i do i work on the baby floor an i want no kids lol
7	i am looking forward to retirement
8	no it is easy especially being single an i like it
9	well i have some heath issues , maybe i will try it
10	i do get it i do
11	will water help my circulation . i have an achy leg
12	yes get on it now
13	i will thank you for the advice
14	anytime are you okay now ?
15	yeah . it does not hurt oo bad . i still ride
16	do you where do you go ?